date,change_categorical,daily_change_pred,daily_change,tweets_count,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
2018-08-31,Decrease,-4.213352426631001,-0.4915064002037006,1,0.039,0.866,0.096,0.4404
2018-09-05,Increase,0.0748019836589231,-2.841325626751645,1,0.086,0.839,0.075,-0.0994
2018-09-06,Decrease,-6.3036125706735655,0.0748019836589231,1,0.0,1.0,0.0,0.0
2018-09-11,Increase,3.972232324125869,-2.1225884732538947,1,0.0,0.931,0.069,0.2144
2018-09-12,Decrease,-0.3717274929716852,3.972232324125869,3,0.0,0.775,0.225,0.8074
2018-09-13,Increase,1.983007424861816,-0.3717274929716852,1,0.0,1.0,0.0,0.0
2018-09-14,Decrease,-0.12195530110457042,1.983007424861816,3,0.0,0.873,0.127,0.6229
2018-09-17,Decrease,-3.350966583424475,-0.12195530110457042,3,0.134,0.73,0.136,0.0387
2018-09-18,Increase,4.934026259911994,-3.350966583424475,2,0.0,1.0,0.0,0.0
2018-09-19,Decrease,-0.23075460890487065,4.934026259911994,1,0.0,1.0,0.0,0.0
2018-09-20,Increase,0.2581023156706941,-0.23075460890487065,9,0.018,0.695,0.287,0.995
2018-09-24,Increase,0.43713466697106185,0.19391696713837447,1,0.088,0.912,0.0,-0.3612
2018-09-25,Increase,2.853912840145889,0.43713466697106185,2,0.0,1.0,0.0,0.0
2018-09-26,Decrease,-0.6654156378681941,2.853912840145889,2,0.159,0.531,0.309,0.5255
2018-09-28,Increase,17.347133498487533,-13.901539455823874,2,0.125,0.644,0.231,0.7163
2018-10-02,Decrease,-2.066307074012952,-3.115546898922428,1,0.039,0.754,0.207,0.784
2018-10-04,Decrease,-7.053900684548853,-4.399589544779026,3,0.134,0.726,0.14,0.0772
2018-10-05,Decrease,-4.348157863082148,-7.053900684548853,1,0.0,0.949,0.051,0.0772
2018-10-08,Increase,4.8850612336867485,-4.348157863082148,1,0.0,0.829,0.171,0.6593
2018-10-09,Decrease,-2.2526672215976933,4.8850612336867485,2,0.082,0.838,0.08,-0.0258
2018-10-11,Increase,2.5968389871958264,-1.8101843567413176,2,0.177,0.669,0.153,0.1852
2018-10-12,Increase,0.31300476689741785,2.5968389871958264,3,0.095,0.554,0.352,0.9246
2018-10-15,Increase,6.5487915055350445,0.31300476689741785,3,0.0,0.839,0.161,0.8622
2018-10-16,Decrease,-1.7390393483831312,6.5487915055350445,3,0.027,0.764,0.209,0.9412
2018-10-17,Decrease,-2.8957199328883854,-1.7390393483831312,2,0.043,0.73,0.227,0.9602
2018-10-18,Decrease,-1.4815684763868853,-2.8957199328883854,3,0.03,0.799,0.171,0.8999
2018-10-19,Increase,0.3653819744403597,-1.4815684763868853,1,0.097,0.793,0.11,0.0772
2018-10-22,Increase,12.718912939162564,0.3653819744403597,2,0.0,0.838,0.162,0.4019
2018-10-23,Decrease,-1.9174515010206283,12.718912939162564,4,0.039,0.86,0.101,0.7995
